UUID,Soubory,Typ,Původní/jiné označení -  Archivní jednotka,Původní/jiné označení -  Inventární číslo,Původní/jiné označení -  Bod schůze,Původní/jiné označení -  Signatura,Ukládací jednotka - typ,Ukládací jednotka - hodnota,Obsah
cb07710db5d74a6fb34edbdfde2865c1,,složka,237,,25,,svazek,174,Rozbor ekonomiky ČSR v uplynulých letech pro Radu vzájemné hospodářské pomoci do konce roku 1957
22e76f24e9d74339a10a8569ea116a72,,složka,237,,26,,svazek,174,Změny ve funkcích poslanců
1b95538342214d44b8c99dd847c61149,,složka,237,,27,,svazek,174,"Československé diplomatické akce k memorandu vlády SSSR z 26. 4. 1958
"
9be9300f89504adaa135348d904a2cc9,,složka,237,,28,,svazek,174,Interview Václava Davida s redaktorem České tiskové kanceláře
59f31a29b75343218329c9ecdd946de6,,složka,237,,29,,svazek,174,Zpráva o konsultaci v Moskvě provedené za účelem vyjasnění konstrukčních a výrobních změn letounu Mig 19 S a Pm
7adea2974c744e10a8a4d902d004aac7,,složka,237,,30,,svazek,174,Změna usnesení Politického byra Ústředního výboru KSČ z 22. 4. 1958 (ústně)
70f362c572284d749a6f62b765700e32,,složka,237,,31,,svazek,174,Svolání schůze Politického byra Ústředního výboru KSČ (ústně)
526d2f81068d456a9b6cbdd21fe28159,,série,,,,,,,K informaci
86d40f045bd84ba3a55a92e896454a69,,složka,237,,1inf,,svazek,174,Zpráva československého velvyslance v Bělehradu
a74c7ad3e83142f384ae5b48f3c0ba03,,série,,,,,,,Schůze Politického byra ÚV KSČ ze dne 3. května 1958
b4d5032ff27e48e981ebdb8be96841cd,,série,,,,,,,Program
3f6ca1427bcd4191b8ae4b6509085919,,složka,238,,0,,svazek,174,Zápis
a4f334c43c5e475ebcfcb0d790ab7f16,,složka,238,,1,,svazek,174,Otázky ekonomické spolupráce mezi zeměmi zúčastněnými v Radě vzájemné hospodářské pomoci
1dadc43988144053ab50a3776dba8924,,složka,238,,2,,svazek,174,Činnost Státních plánovacích orgánů socialistických zemí při rozpracování perspektivních plánů rozvoje základních vzájemně na sebe navazujících odvětví národního hospodářství
f6b77589d8044767963b9ef58cc1bf34,,složka,238,,3,,svazek,174,Zásady stanovení cen v zahraničním obchodě mezi zeměmi socialistického tábora
3c24363f2dec47018c1624305bdd966b,,složka,238,,4,,svazek,174,Vyúčtování vývozu Ústřední správy výzkumu a těžby radioaktivních surovin
0f2fe5073e3d49b0ad1a45589df5e5e0,,složka,238,,5,,svazek,174,Koordinace výrobních plánů obranného průmyslu a vzájemných dodávek vojenské techniky
6460d47c789b46c59534a2e900253bae,,složka,238,,6,,svazek,174,Delegace Ústředního výboru KSČ na poradu představitelů bratrských komunistických a dělnických stran
4139f0da9a624549a3f543a4944cbfbb,,složka,238,,7,,svazek,174,"Kladení věnců na Olšanských hřbitovech 8. května 1958 (ústně)
"
78002309743a46ca8c13f6c94bc14d55,,série,,,,,,,Schůze Politického byra ÚV KSČ ze dne 6. května 1958
9f5c1c1c7dd84e72898c23d6a83f2711,,série,,,,,,,Program
8c5a8372a0f44d13b88c92afec62e7fd,,složka,239,,0,,svazek,175,Zápis
d3d02623c45d4f1eafc0c3d043e95fcd,,složka,239,,1A,,svazek,175,Činnost Ústředního výboru Komunistické strany Slovenska a další úkoly
aa5a072f1a6046649305ccb45fb4b423,,složka,239,,1B,,svazek,175,Návrhy na členy a kandidáty Ústředního výboru KSS
ed019f3116c7479197a3e7ddd5e88e46,,složka,239,,2,,svazek,175,Použití Československého rozhlasu a televize pro uvědomění státu a všeobecné otevřené mobilizaci
8fcd5b374c254506b2138f6349ebd3f6,,složka,239,,3,,svazek,175,"Prověrka výše a stavu proviantu, proviantního intendančního a tělovýchovného materiálu v Československé lidové armádě"
49a630bd8545453181ead0977363ba74,,složka,239,,4,,svazek,175,"Uplatňování vnitropodnikového chozrasčotu v podmínkách nové soustavy řízení, plánování a financování"
da89eae9f4b44d8ba715af29d6e5f873,,složka,239,,5,,svazek,175,Opatření na komplexní řešení zemědělské výroby v oblasti jižního Slovenska
60b120adb34b40f0a807be519eb9560b,,složka,239,,6,,svazek,175,Majetkoprávní jednání mezi ČSR a Rakouskem
4af9a5c5f59649569bad74168285063a,,složka,239,,7,,svazek,175,Pozvání nepálského krále do ČSR
78f0b2925b3c49b4a0d832d59b9c3ca3,,složka,239,,8,,svazek,175,Mezinárodní vědecké zasedání k výročí Mnichova
3ef3f452a05348c695368ec63d001648,,složka,239,,9,,svazek,175,XIII. mezinárodní hudební festival Pražské jaro 1958
6ab8ac5e74964817a55fee1a7fcc9062,,složka,239,,10,,svazek,175,"Vyslání delegace na VII. sjezd Bulharské komunistické strany
"
0434db60acb742688a5b72af9073fed4,,složka,239,,11,,svazek,175,Návštěva předsedy Národního shromáždění Zdeňka Fierlingera v Belgii
3a592a44c073495c91d4d73cb1c10fab,,složka,239,,12,,svazek,175,Mírové využití akce K - 111 a její převedení do operativní správy Ministerstva národní obrany
ae5302bf51ee410f953fc8d55e02d8dd,,složka,239,,13,,svazek,175,Přešetření návrhu byra Krajského výboru KSČ Brno na odebrání Řádu republiky Adolfu Kličkovi
4674835f0b644505981e73c0381823bb,,složka,239,,14,,svazek,175,Jmenování Rudolfa Kožušníka do funkce generálního konzula v Damašku
10b6e7cb5b5a400ba6b448b780e1ed5e,,složka,239,,15,,svazek,175,Personální návrhy Ministerstva těžkého strojírenství
22652f113fd046489588f6ed5991bdcc,,složka,239,,16,,svazek,175,Personální návrhy Ministerstva hutní průmyslu a rudných dolů
032ad383090f45d9a50c556e1e0bbc25,,složka,239,,17,,svazek,175,Problémy dalšího rozvoje mezinárodní socialistické dělby práce a denní pořádek jednání představitelů stran
078cd154fdda49bf8b4e80d84c3115c1,,složka,239,,18,,svazek,175,"Činnost státních plánovacích orgánů socialistických zemí pro rozpracování perspektivních plánů rozvoje základních, vzájemně na sebe navazujících odvětví národního hospodářství"
b2fa6e58b692456ead64e13b7e43089a,,složka,239,,19,,svazek,175,Slavnostní projev ministra národní obrany dne 9. května 1958
7c9cf8d7075a4b7c8c25af0ec839b3eb,,složka,239,,20,,svazek,175,"Pozastavení vyznamenání Ing. Františka Krejčího, ředitele Jáchymovských dolů národní podnik Slavkov"
7438a4ff5fde454490195f3a3425ae2f,,složka,239,,21,,svazek,175,Udělení Řádu práce akademiku Janu Smetanovi u příležitosti jeho 75. narozenin
a5e18541b3ed4119aff746a9666e8911,,složka,239,,22,,svazek,175,Československé stanovisko na zasedání představitelů komunistických a dělnických stran k otázkám obrany
3feb50569c154c44b4da0192db816631,,složka,239,,23,,svazek,175,Přípravy XI. sjezdu KSČ
210436e075c8459290f103ad21c8a868,,složka,239,,24,,svazek,175,Odpověď na dopis Nikity Chruščova ve věci jednostranného zastavení pokusů s atomovými a vodíkovými zbraněmi v SSSR
64e9c204ba0c4af7b6d639b53d79852d,,složka,239,,25,,svazek,175,"Článek v Rudém právě o sjezdu Svaze komunistů Jugoslávie "
b761bc7604bd4b239e88af95cb8bcc8d,,složka,239,,26,,svazek,175,Pozvání argentinského prezidenta Artura Frondiziho do ČSR (ústně)
c94233682caf4018a960549751205455,,složka,239,,27,,svazek,175,Pokus o útěk do zahraničí (ústně)
38396cba6fb44c9ebf165e3bdf870c8f,,série,,,,,,,K informaci
7ef2bf4991c245e2a754615a1bb7a710,,složka,239,,1inf,,svazek,175,Návštěva ministra zahraničních věcí Václava Davida v SSSR ve dnech 14. - 23. 4. 1958
18630a2d04a142ceb7d34a95169cc487,,složka,239,,2inf,,svazek,175,Zpráva o jednání v Egyptě
